task_id,rectangle,task_name
340,2348,20.10.16 dw02-3 HUMAN_SDG_1015_PARKING Parking_A1008-1013_T16
341,2376,20.10.16 dw02-4 HUMAN_SDG_1015_PARKING Parking_A1016-1021_T16
342,2404,20.10.16 us01-3 HUMAN_SDG_1015_PARKING Parking_A1023-1028_T16
343,2283,20.10.16 us01-4 HUMAN_SDG_1015_PARKING Parking_A1030-1035_T16
344,40984,SWcluster_NH
345,2072,20.10.16 nh02-4 HUMAN_SDG_1015_PARKING Parking_A1056-1101_T16
346,2358,20.10.16 nh03-4 HUMAN_SDG_1015_PARKING Parking_A1104-1109_T16
347,2391,20.10.16 nh05-4 HUMAN_SDG_1015_PARKING Parking_A1111-1116_T16
349,2634,20.10.16 dw01-4 HUMAN_SDG_1015_PARKING Parking_A1118-1123_T16
350,2292,20.10.16 dw02-5 HUMAN_SDG_1015_PARKING Parking_A1136-1141_T16
351,2148,20.10.16 dw02-6 CAR_CD_1015_ROAD Cheomdan_P0326-0331_T18
352,1680,20.10.16 us01-5 CAR_CD_1015_ROAD Cheomdan_P0331-0336_T18
353,759,20.10.16 us01-6 CAR_CD_1015_ROAD Cheomdan_P0337-0342_T18
355,2252,20.10.16 nh02-5 CAR_CD_1015_ROAD Cheomdan_P0343-0348_T18
356,2220,20.10.16 nh03-5 CAR_CD_1015_ROAD Cheomdan_P0348-0353_T18
357,1534,20.10.16 nh04-1 CAR_CD_1015_ROAD Cheomdan_P0354-0359_T18
358,1331,20.10.16 nh05-5 CAR_CD_1015_ROAD Cheomdan_P0403-0408_T18
359,2900,20.10.16 dw02-5 CAR_CD_1015_ROAD Cheomdan_P0409-0414_T18
360,2300,20.10.16 dw01-5 CAR_CD_1015_ROAD Cheomdan_P0414-0419_T18
361,1799,20.10.20 nh02-1 CAR_CD_1015_ROAD Cheomdan_P0428-0433_T18
362,2079,20.10.20 nh03-1 CAR_CD_1015_ROAD Cheomdan_P0434-0439_T18
363,3833,20.10.20 nh04-1 CAR_CD_1015_ROADCheomdan_P0441-0446_T18
364,2896,20.10.20 nh05-1 CAR_CD_1015_ROAD Cheomdan_P0446-0451_T18
365,3160,20.10.20 dw01-1 CAR_CD_1015_ROAD Cheomdan_P0451-0456_T18
366,4021,20.10.20 dw02-1 CAR_CD_1015_ROAD Cheomdan_P0456-0501_T18
367,768,20.10.20 nh02-2 CAR_CD_1015_ROAD Cheomdan_P0502-0507_T18
368,2465,20.10.20 nh03-2 CAR_CD_1015_ROAD Cheomdan_P0507-0512_T18
369,2680,20.10.20 nh04-2 CAR_CD_1015_ROAD Cheomdan_P0513-0518_T18
371,925,20.10.20 dw02-2 CAR_CD_1019_ROAD Gwangcheon_P0215-0220_T20
372,1141,20.10.20 dw01-2 CAR_CD_1019_ROAD Gwangcheon_P0209-0214_T20
373,1103,20.10.20 nh02-3 CAR_CD_1019_ROAD Gwangcheon_P0220-0225_T20
374,3025,20.10.20 nh03-3 CAR_CD_1019_ROAD Gwangcheon_P0226-0231_T20
375,1377,20.10.20 nh04-3 CAR_CD_1019_ROAD Gwangcheon_P0232-0237_T20
376,1080,20.10.20 nh05-3 CAR_CD_1019_ROAD Gwangcheon_P0237-0242_T20
377,1140,20.10.20 dw01-3 CAR_CD_1019_ROAD Gwangcheon_P243-0248_T20
378,1430,20.10.20 dw02-3 CAR_CD_1019_ROAD Gwangcheon_P0341-0346_T20
379,1288,20.10.20 dw02-4 CAR_CD_1019_ROAD Gwangcheon_P0347-0352_T20
380,1188,20.10.20 nh02-4 CAR_CD_1019_ROAD Cheomdan_P0202-0207_T20
381,2037,20.10.20 nh03-4 CAR_CD_1019_ROAD Cheomdan_A1115-1120_T20
382,1827,20.10.20 nh04-4 CAR_CD_1019_ROAD Cheomdan_A1121-1126_T20
383,3586,20.10.20 nh05-4 CAR_CD_1019_ROAD Cheomdan_A1131-1136_T20
384,4424,20.10.20 dw01-4 CAR_CD_1019_ROAD Cheomdan_A1137-1142_T20
385,8703,20.10.20 dw02-5 CAR_CD_1019_ROAD Cheomdan_A1143-1148_T20
386,2675,20.10.20 dw02-6 CAR_CD_1019_ROAD Cheomdan_A1149-1154_T20
387,3222,20.10.20 nh02-5 CAR_CD_1019_ROAD Cheomdan_A1154-1159_T20
388,2621,20.10.20 nh03-5 CAR_CD_1019_ROAD Cheomdan_P0153-0158_T20
389,2389,20.10.20 nh04-5 CAR_CD_1019_ROAD Cheomdan_P0200-0205_T20
390,1040,20.10.20 nh05-5 CAR_CD_1019_ROAD Cheomdan_P0202-0207_T20
391,2605,20.10.20 dw01-5 CAR_CD_1019_ROAD Cheomdan_P0206-0211_T20
392,299,20.10.20 dw02-7 CAR_CD_1019_ROAD Cheomdan_P0212-0217_T20
394,634,20.10.20 nh02-6 CAR_CD_1019_ROAD Cheomdan_P0223-0228_T20
395,1177,20.10.20 nh03-6 CAR_CD_1019_ROAD Cheomdan_P0229-0234_T20
396,1409,20.10.20 nh04-6 CAR_CD_1019_ROAD Cheomdan_P0234-0239_T20
397,426,20.10.20 nh05-6 CAR_CD_1019_ROAD Cheomdan_P0241-0246_T20
398,2356,20.10.20 dw01-6 CAR_CD_1019_ROAD Cheomdan_P0250-0255_T20
